episode,reward,epsilon,Max Future Q-value,Action,State
200,-342,0.8647070359407847,-0.597640729549453,Daignose for ArterialpH level,Non ideal heartRate
201,-43,0.8645340945335965,-1.7979050606044296,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
202,-60,0.8643611877146898,-3.0520360606169032, , 
203,-317,0.8641883154771469,-0.5745075125227412,Daignose for ArterialpH level,Non ideal heartRate
204,-128,0.8640154778140515,-0.029988377408783684,Daignose for SpO2 and FiO2,Non ideal heartRate
205,-104,0.8638426747184887,-0.6968636434008406,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
206,-330,0.8636699061835451,-1.1927032361559027,Daignose for heartRate,Non ideal ArterialpH level
207,-116,0.8634971722023084,-0.11752936128661773,Daignose for heartRate,Non ideal Maintain heartRate
208,-4,0.863324472767868,-0.5695892707453529,Daignose for heartRate,Non ideal Maintain heartRate
209,18,0.8631518078733144,-2.1625020888268986,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
210,-349,0.8629791775117397,-3.1627120180623995,Daignose for ArterialpH level,Non ideal heartRate
211,-200,0.8628065816762374,-0.7825220680361742,Daignose for ArterialpH level, 
212,-63,0.8626340203599021,-0.7092686877655288,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
213,-360,0.8624614935558301,-0.19287691344473767,Daignose for SpO2 and FiO2,Non ideal heartRate
214,-115,0.8622890012571189,-1.134237629298935,Daignose for heartRate, 
215,-63,0.8621165434568675,-0.056732663312748954,Daignose for ArterialpH level,Non ideal ArterialpH level
216,-390,0.8619441201481761,-0.9513162179951582,Daignose for ArterialpH level,Non ideal ArterialpH level
217,-200,0.8617717313241465,-0.4555145607876565,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
218,-361,0.8615993769778817,-0.3497890901549532,Daignose for ArterialpH level,Non ideal ArterialpH level
219,-360,0.8614270571024861,-0.49134285653986787, , 
220,-200,0.8612547716910657,-0.9285192630622292,Daignose for SpO2 and FiO2,Non ideal heartRate
